,name,address,Website,Type,Size,city,state,zipcode,associates,Profit,Sector
474,College of Notre Dame of Maryland,"4701 N Charles St, Baltimore, Maryland 21210-2476",www.ndm.edu,"4-year, Private not-for-profit",2935.0, Baltimore,Maryland,21210-2476,0,Not-For-Profit,Private
475,College of Our Lady of the Elms,"291 Springfield St, Chicopee, Massachusetts 01013",www.elms.edu,"4-year, Private not-for-profit",1228.0, Chicopee,Massachusetts,01013,0,Not-For-Profit,Private
476,College of Saint Benedict,"37 S. College Ave., Saint Joseph, Minnesota 56374",www.csbsju.edu,"4-year, Private not-for-profit",2110.0, Saint Joseph,Minnesota,56374,0,Not-For-Profit,Private
477,College of Saint Elizabeth,"2 Convent Rd, Morristown, New Jersey 07960-6989",www.cse.edu,"4-year, Private not-for-profit",2111.0, Morristown,New,Jersey 07960-6989,0,Not-For-Profit,Private
478,College of Saint Mary,"7000 Mercy Rd., Omaha, Nebraska 68106",WWW.CSM.EDU,"4-year, Private not-for-profit",953.0, Omaha,Nebraska,68106,0,Not-For-Profit,Private
479,College of Santa Fe,"1600 St. Michael's Drive, Santa Fe, New Mexico 87505-7634",www.csf.edu,"4-year, Private not-for-profit",622.0, Santa Fe,New,Mexico 87505-7634,0,Not-For-Profit,Private
480,College of Santa Fe at Albuquerque,"4501 Indian School Rd NE, Albuquerque, New Mexico 87110",www.csf.edu,"4-year, Private not-for-profit",795.0, Albuquerque,New,Mexico 87110,0,Not-For-Profit,Private
481,College of Southern Nevada,"6375 W. Charleston Blvd., Las Vegas, Nevada 89146-1164",www.csn.edu,"4-year, primarily associate's, Public",40310.0, Las Vegas,Nevada,89146-1164,1,Not-For-Profit,Private
482,College of St Catherine,"2004 Randolph Ave, Saint Paul, Minnesota 55105",www.stkate.edu,"4-year, Private not-for-profit",5201.0, Saint Paul,Minnesota,55105,0,Not-For-Profit,Private
483,College of St Joseph,"71 Clement Road, Rutland, Vermont 05701-3899",www.csj.edu,"4-year, Private not-for-profit",428.0, Rutland,Vermont,05701-3899,0,Not-For-Profit,Private
484,College of the Atlantic,"105 Eden Street, Bar Harbor, Maine 04609",www.coa.edu,"4-year, Private not-for-profit",327.0, Bar Harbor,Maine,04609,0,Not-For-Profit,Private
485,College of the Holy Cross,"One College Street, Worcester, Massachusetts 01610-2395",www.holycross.edu,"4-year, Private not-for-profit",2898.0, Worcester,Massachusetts,01610-2395,0,Not-For-Profit,Private
486,College of the Ozarks,"Point Lookout, Missouri 65726-0017",www.cofo.edu,"4-year, Private not-for-profit",1334.0, Missouri 65726-0017,,,0,Not-For-Profit,Private
487,College of Visual Arts,"344 Summit Ave, Saint Paul, Minnesota 55102-2199",www.cva.edu,"4-year, Private not-for-profit",191.0, Saint Paul,Minnesota,55102-2199,0,Not-For-Profit,Private
488,College of William and Mary,"Williamsburg, Virginia 23187-8795",www.wm.edu,"4-year, Public",7892.0, Virginia 23187-8795,,,0,Not-For-Profit,Private
489,Collins College,"1140 S Priest Dr, Tempe, Arizona 85281-5206",www.collinscollege.edu,"4-year, Private for-profit",1456.0, Tempe,Arizona,85281-5206,0,For-Profit,Private
490,Colorado Christian University,"8787 West Alameda Avenue, Lakewood, Colorado 80226",WWW.CCU.EDU,"4-year, Private not-for-profit",2599.0, Lakewood,Colorado,80226,0,Not-For-Profit,Private
491,Colorado College,"14. E Cache La Poudre St., Colorado Springs, Colorado 80903",www.coloradocollege.edu,"4-year, Private not-for-profit",2026.0, Colorado Springs,Colorado,80903,0,Not-For-Profit,Private
492,Colorado School of Mines,"1500 Illinois St, Golden, Colorado 80401",www.mines.edu,"4-year, Public",4704.0, Golden,Colorado,80401,0,Not-For-Profit,Private
493,Colorado School of Traditional Chinese Medicine,"1441 York St Ste 202, Denver, Colorado 80206",www.cstcm.edu,"4-year, Private for-profit",96.0, Denver,Colorado,80206,0,For-Profit,Private
